lambda_logic,lr,pretrained_model_path,seed,test_balanced_accuracy,test_f1_score,test_normalized_logic_loss,test_total_loss,weight_decay
0.3,0.0001,pretrained_models/model_43.pt,43,0.7482180293501048,0.7395833333333334,1.0234410846233368,0.7115790939331055,1e-05
0.3,0.0001,pretrained_models/model_44.pt,44,0.6515009380863039,0.8734177215189874,0.7428473134835561,0.6857909125586351,1e-05
0.3,0.0001,pretrained_models/model_45.pt,45,0.8374620829120323,0.852017937219731,0.6537692114137686,0.5916685530772576,1e-05
0.3,0.0001,pretrained_models/model_46.pt,46,0.5192757009345794,0.6228070175438597,0.5278969804445902,0.9211770072579384,1e-05
0.4,0.0001,pretrained_models/model_42.pt,42,0.9024112088628218,0.9025641025641027,0.7467977366177365,0.536323436225454,1e-05
0.4,0.0001,pretrained_models/model_43.pt,43,0.7776729559748428,0.7761194029850748,1.0782711029052734,0.7812929570674896,1e-05
0.4,0.0001,pretrained_models/model_44.pt,44,0.6515009380863039,0.8734177215189874,0.7653259461124738,0.7116501728693644,1e-05
0.4,0.0001,pretrained_models/model_45.pt,45,0.8258341759352882,0.8444444444444444,0.6718601927591058,0.6056905125196164,1e-05
0.4,0.0001,pretrained_models/model_46.pt,46,0.5192757009345794,0.6228070175438597,0.5362774680058161,0.8697531732420126,1e-05
0.5,0.0001,pretrained_models/model_42.pt,42,0.8970348647768003,0.8969072164948454,0.7848997775872704,0.5936375044596692,1e-05
0.5,0.0001,pretrained_models/model_43.pt,43,0.7793501048218029,0.7804878048780488,1.1564354765415192,0.8741038250923157,1e-05
0.5,0.0001,pretrained_models/model_44.pt,44,0.6575984990619137,0.880503144654088,0.7953495035568873,0.7446812068422636,1e-05
0.5,0.0001,pretrained_models/model_45.pt,45,0.8258341759352882,0.8444444444444444,0.6973870635892336,0.6282012233367333,1e-05
0.5,0.0001,pretrained_models/model_46.pt,46,0.5192757009345794,0.6228070175438597,0.5471246242523193,0.8201246770719687,1e-05
0.6,0.0001,pretrained_models/model_42.pt,42,0.8916585206907788,0.8911917098445595,0.8445374479051679,0.673041838221252,1e-05
0.6,0.0001,pretrained_models/model_43.pt,43,0.7749475890985325,0.7853881278538813,1.2313258743286133,0.9850285172462463,1e-05
0.6,0.0001,pretrained_models/model_44.pt,44,0.6575984990619137,0.880503144654088,0.8364910135666529,0.7912007744113604,1e-05
0.6,0.0001,pretrained_models/model_45.pt,45,0.8243680485338726,0.8458149779735682,0.7276487930749471,0.6590231731534004,1e-05
0.6,0.0001,pretrained_models/model_46.pt,46,0.5192757009345794,0.6228070175438597,0.5631448725859324,0.777481327454249,1e-05
0.7,0.0001,pretrained_models/model_42.pt,42,0.8809058325187358,0.8795811518324608,0.9349277285121692,0.7867495254613459,1e-05
0.7,0.0001,pretrained_models/model_43.pt,43,0.74916142557652,0.7705627705627707,1.3202418744564057,1.1203180599212645,1e-05
0.7,0.0001,pretrained_models/model_44.pt,44,0.6575984990619137,0.880503144654088,0.8928312162558237,0.8532568514347076,1e-05
0.7,0.0001,pretrained_models/model_45.pt,45,0.8287158746208292,0.8508771929824561,0.7720877982389468,0.7067585186316416,1e-05
0.7,0.0001,pretrained_models/model_46.pt,46,0.5317757009345794,0.6283185840707963,0.5891633952657381,0.7439057131608328,1e-05
0.8,0.0001,pretrained_models/model_42.pt,42,0.8647768002606713,0.8617021276595744,1.0420780417043716,0.929125185435017,1e-05
0.8,0.0001,pretrained_models/model_43.pt,43,0.7311320754716981,0.759493670886076,1.3963361394405365,1.258244605064392,1e-05
0.8,0.0001,pretrained_models/model_44.pt,44,0.6575984990619137,0.880503144654088,0.9698884611328443,0.9384820262591044,1e-05
0.8,0.0001,pretrained_models/model_45.pt,45,0.8359453993933266,0.8620689655172413,0.8502573527825567,0.7931820761698943,1e-05
0.8,0.0001,pretrained_models/model_46.pt,46,0.5380257009345795,0.6311111111111111,0.6340674621363481,0.7288813690344492,1e-05
0.9,0.0001,pretrained_models/model_42.pt,42,0.8540241120886283,0.8494623655913978,1.1639027822141845,1.1004527822757761,1e-05
0.9,0.0001,pretrained_models/model_43.pt,43,0.7075471698113207,0.743801652892562,1.4585597169399263,1.3889661407470704,1e-05
0.9,0.0001,pretrained_models/model_44.pt,44,0.6545497185741088,0.8769716088328076,1.06765399624904,1.0493029902378719,1e-05
0.9,0.0001,pretrained_models/model_45.pt,45,0.828665318503539,0.8595744680851064,0.9866015485559518,0.9481471756903025,1e-05
0.9,0.0001,pretrained_models/model_46.pt,46,0.5942757009345794,0.6574074074074074,0.713459617147843,0.7543996448318163,1e-05
1.0,0.0001,pretrained_models/model_42.pt,42,0.8486477680026068,0.8432432432432434,1.297650197617865,1.297650197617865,1e-05
1.0,0.0001,pretrained_models/model_43.pt,43,0.6839622641509434,0.728744939271255,1.4983308875560761,1.4983308875560761,1e-05
1.0,0.0001,pretrained_models/model_44.pt,44,0.6454033771106942,0.8662420382165605,1.174437552690506,1.174437552690506,1e-05
1.0,0.0001,pretrained_models/model_45.pt,45,0.8213852376137513,0.857142857142857,1.1647139674482436,1.1647139674482436,1e-05
1.0,0.0001,pretrained_models/model_46.pt,46,0.6068341121495326,0.6473429951690821,0.873545785744985,0.873545785744985,1e-05
